Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Truconnected,21050 Kittridge street,Canoga Park,CA,91303,'+13102954302,https://truconnected.org/,Kaye Kuye,Founder,kaye@truconnected.org,"Community-based Organization / Non-profit (501c3), Regional Broadband Consortia",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://truconnected.org/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s less than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Partnership opportunities, Collective action",Yes. We charge a fee for our services.,12/16/25 13:09
"City of San Diego, SD Access4All",1200 Third Avenue,San Diego,CA,92101,'+16192012013,https://sandiego.gov/sdaccess,Maiten Mowreader-Utreras,SD Access4All Program Coordinator,maitenm@sandiego.gov,City Government,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,San Diego,San Diego (San Diego County.),In-Person,,Central Library,"330 Park Blvd, San Diego, CA, 92101.0, US",'+18003506945,"Monday-Saturday, hours vary",https://sandiego.gov/sdaccess,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Arabic, French",,No. Our services are offered free of cost.,12/16/25 11:14
LA County Department of Public Health Office of Women's health,1000 S. Fremont Ave.,Alhambra,CA,91803,'+16262932600,http://publichealth.lacounty.gov/owh/,Patricia Hernandez,Program Manager,phernandez@ph.lacounty.gov,"Other, County Government",,"Digital navigation (in-person or virtual/call center), Online educational resources",,Los Angeles,,"Virtually, In-Person",,varies. hosting sites are agencies that provide services to older adults and or their caregivers,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 10:36
Contra Costa County Library,"777 Arnold Drive, Suite 210",Martinez,CA,94553,'+19256087700,https://ccclib.org/,Alison McKee,County Librarian,alison.mckee@library.cccounty.us,"Library, County Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Contra Costa,,"Virtually, In-Person",https://ccclib.org/,See attachment for bulk upload,"See attachment for bulk upload, US",,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Farsi, Hindi, Russian",,No. Our services are offered free of cost.,12/15/25 13:19
Fresno EOC: Access to Technology,1805 E California,Fresno,CA,93706,'+15592638911,https://fresnoeoc.org/,Tyus Bloom,Program Coordinator,tyus.bloom@fresnoeoc.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Technical support, Online educational resources",,"Fresno, Madera",,In-Person,,Local Conservation Corps,"1805 E California, Fresno, CA, 93706.0, US",'+15592638911,5-Aug,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Rural Communities","English, Spanish, Other",,No. Our services are offered free of cost.,12/15/25 8:11
Economic Development Collaborative Ventura County,4001 Mission Oaks Blvd.,Camarillo,CA,93012,'+18054099142,https://edcollaborative.com,Jaime Fall,Workforce and Economic Strategies Director,jaime@edcollaborative.com,"Other, Other, Economic Development Organization",,Digital literacy & skills training,,"Santa Barbara, Ventura",,"Virtually, In-Person",https://digital-upskilling.edcollaborative.com/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Economic Development Organization","English, Spanish","Train-the-trainer, Partnership opportunities",No. Our services are offered free of cost.,12/13/25 15:18
Computers for Classrooms inc.,411 Otterson Drive,Chico,CA,95928,'+15308954175,https://Computersforclassrooms.org,Louis Davis,CEO,chico@computersforclassrooms.org,"Community-based Organization / Non-profit (501c3), Other, Other",,"Locating low-cost internet service programs, Technical support, Free/Low-cost devices",,,,In-Person,,Computers for Classrooms,"411 Otterson Drive, Suite 100, Chico, CA, 95928.0, US",'+15308954175,Monday through Friday from 9 am to 4 pm,https://ComputersforClassrooms.org,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s less than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities, Rural Communities, Other","English, Spanish","Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,12/12/25 14:53
"Riverside County, RivcoConnect Tech on Wheels",3450 14th Street,Riverside,CA,92501,'+19519551850,https://rivcoconnect.org/,Tom Mullen,"Director, Broadband Services",tmullen@rivco.org,County Government,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi, Online educational resources",,Riverside,,In-Person,,,,,,https://rivcoconnect.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Arabic","Other, Our services are provided at host locations throughout the Riverside County Fifth Supervisorial District, including senior centers, senior housing complex and HOA facilities, libraries, community centers and event sites, and adult educational sites",No. Our services are offered free of cost.,12/12/25 14:16
Destination Crenshaw,PO Box 43386,Los Angeles,CA,90043,'+13236784917,https://www.DestinationCrenshaw.la,Jason Foster,President & CEO,jason@destinationcrenshaw.la,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Workforce development resources",,Los Angeles,"Baldwin Park (Los Angeles County.), Los Angeles (Los Angeles County.)",In-Person,,Destination Crenshaw Office,"5444 Crenshaw Blvd. #100, Los Angeles, CA, 90043.0, US",'+13236784917,10 am - 4 pm,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Organizational training, Mutual aid (financial), Partnership opportunities",Yes. We charge a fee for our services.,12/12/25 10:37
Bridge The Digital Divide,2321 W 54th street,Los Angeles,CA,90043,'+13109990001,https://www.bridgela.org,Mimi Shakima Namanda,Program Manager,mimi@bridgela.org,"Community-based Organization / Non-profit (501c3), Other, Other, Nonprofit community based organization providing digital literacy and digital inclusion services.",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources",,Los Angeles,"Baldwin Park (Los Angeles County.), Compton (Los Angeles County.), Culver City (Los Angeles County.), Gardena (Los Angeles County.), Inglewood (Los Angeles County.), Los Angeles (Los Angeles County.)","Virtually, In-Person",https://meet.google.com/boa-kppm-thn,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Individuals with Disabilities, Ethnic or Minority Communities, Rural Communities, Other, Nonprofit community based organization providing digital literacy and digital inclusion services.","English, Spanish","Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,12/11/25 15:29
Area 1 Agency on Aging,333 J Street,Eureka,CA,95501,'+17073240623,https://www.a1aa.org,Abby Holloway,Social Services Coordinator,aholloway@a1aa.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Technical support, Public Wi-Fi",,Del Norte,,In-Person,,Del Norte Senior Center,"1765 Northcrest Drive, Crescent City, CA, 95531.0, US",,,,Redwood Hotel and Casino,"171 Klamath Blvd, Klamath, CA, 95548.0, US",,,,A1AA,"333 J Street, Eureka, CA, 95501.0, US",,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Rural Communities",English,Partnership opportunities,No. Our services are offered free of cost.,12/11/25 14:26
San Diego Futures Foundation,4283 El Cajon Blvd. Ste. 220,4283 El Cajon Blvd. Ste 140,CA,92105,'+16195009330,https://sdfutures.org/,Teresa Valenzuela,Community Relations Manager,teresa@sdfutures.org,"Community-based Organization / Non-profit (501c3), Other, Digital Equity Coalition",,"Digital literacy & skills training, Free/Low-cost devices, Computer center(s), Workforce development resources",,San Diego,"Carlsbad (San Diego County.), Chula Vista (San Diego County.), Coronado (San Diego County.), Del Mar (San Diego County.), El Cajon (San Diego County.), Encinitas (San Diego County.), Escondido (San Diego County.), Imperial Beach (San Diego County.), La Mesa (San Diego County.), Lemon Grove (San Diego County.), National City (San Diego County.), Oceanside (San Diego County.), Poway (San Diego County.), San Diego (San Diego County.), San Marcos (San Diego County.), Santee (San Diego County.), Solana Beach (San Diego County.), Vista (San Diego County.)","Virtually, In-Person",https://sdfutures.org/,We partner with the City of San Diego and are in multiple libraries and community centers,,,,https://sdfutures.org/digital-skills-classes-1,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Vietnamese, Farsi, Arabic, Russian, Punjabi","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/11/25 12:50
CITY OF MAYWOOD,4319 SLAUSON AVE,MAYWOOD,CA,90270,'+13235625700,https://CITYOFMAYWOOD.COM,JOHN THORNTON,COMMUNITY SERVICES SUPERVISOR,john.thornton@cityofmaywood.org,City Government,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",,Los Angeles,Maywood (Los Angeles County.),In-Person,,CITY HALL,"4319 SLAUSON AVE, MAYWOOD, CA 90270, MAYWOOD, CA, 90270.0, US",'+13235625700,8AM - 5PM,https://CITYOFMAYWOOD.COM,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Other",Spanish,Partnership opportunities,No. Our services are offered free of cost.,12/11/25 10:46
Colunga & Associates LLC,3039 Heather Road,Long Beach,CA,90808,'+15626190341,https://www.tracycolunga.com,Tracy M. Colunga,CEO,tracy.colunga@tracycolunga.com,"Other, For-Profit Corporation or Business",,"Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://www.tracycolunga.com,Revive,"668 Obispo Avenue, Long Beach, CA, 90815.0, US",'+15626190341,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s less than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Khmer","Digital equity grant writing, Organizational training, Train-the-trainer, Collective action, Information sharing",Yes. We charge a fee for our services.,12/11/25 10:44
Parent Institute for Quality Education (PIQE),2405 E Plaza Blvd.,National City,CA,91950,'+16194204499,https://www.piqe.org/,Stephanie De Anda,Director of Philanthropy,sdeanda@piqe.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Online educational resources",,,,Virtually,https://www.piqe.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Farsi, Punjabi","Partnership opportunities, Collective action",No. Our services are offered free of cost.,12/11/25 10:16
UNITE-LA,1055 Wilshire Blvd,Los Angeles,CA,90017,'+12133251525,https://ladeal.org/,Amy Cortina,Executive Vice President,acortina@unitela.com,"Community-based Organization / Non-profit (501c3), Regional Broadband Consortia",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Workforce development resources",,Los Angeles,,Virtually,https://ladeal.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other",English,"Digital equity grant writing, Partnership opportunities, Collective action, Information sharing, Other, Broadband Network Design and Development",No. Our services are offered free of cost.,12/11/25 10:05
Rural Prosperity Center,819 S. GOLDENROD AVENUE,KERMAN,CA,93630,'+15595199823,https://www.ruralprosperitycenter.org,Eduardo Gonzalez,Co-Founder / Co-Executive Director,egonzalez@ruralprosperitycenter.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://www.ruralprosperitycenter.org,"Various locations across California - School Sites, Community Centers and Senior Centers","Various Locations, US",'+15595199823,8am to 9pm,https://www.ruralprosperitycenter.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Punjabi","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing, Other, Adopt a Neighbor - An Internet Adoption Campaign",No. Our services are offered free of cost.,12/10/25 22:22
Parent University,5479 E. Butler Ave,Fresno,CA,93727,'+15597044347,https://www.parentuniversity.org,Ana Gonzalez,Founder / Executive Director,agonzalez@parentuniversity.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://www.parentuniversity.org,"Various across 58 counties - School Sites, Community Centers and Senior Centers",,'+15592023215,8am to 9pm,https://www.parentuniversity.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Punjabi, Other","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Information sharing, Other, Adopt A Neighbor - Adoption Campaign",No. Our services are offered free of cost.,12/10/25 22:13
Mission Bit,101A Clay St.,San Francisco,CA,94111,'+14158795380,https://www.missionbit.org,Christina Ortega,CEO,christina@missionbit.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Online educational resources",,San Francisco,San Francisco (San Francisco County.),Virtually,https://www.missionbit.org/programs,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,English,Partnership opportunities,No. Our services are offered free of cost.,12/10/25 16:09
MNC INSPIRING SUCCESS,362 Capp street,San Francisco,CA,94110,'+14152067759,https://mncsf.org,Benny Tan,Digital Navigator,benny.tan@mncsf.org,Foundation / Philanthropic Organization,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,San Francisco,,"Virtually, In-Person",https://mncsf.org,"362 Capp street, San Francisco, CA 94110","362 Capp street, San Francisco, CA, 94110.0, US",'+14156535750,"Monday to Saturday, 9 am to 5 pm",https://mncsf.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Cantonese, Russian","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/10/25 15:08
Education and Leadership Foundation,1308 E. Olive Avenue,Fresno,CA,93728,'+15592915428,https://www.elfus.org,Mario A. Gonzalez,Executive Director,mgonzalez@education-leadership.org,Community-based Organization / Non-profit (501c3),,Digital navigation (in-person or virtual/call center),,"Fresno, Kern, Kings, Madera, Tulare",,In-Person,,Education and Leadership Foundation - Ashlan Ave. Site,"4290 E. Ashlan Ave., Fresno, CA, 93726.0, US",'+15592915428,8:30 am to 5:00 pm,https://www.elfus.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/5/25 20:19
Advancing Modoc,701 N Main Street #D3,Alturas,CA,96101,'+15302331685,https://advancingmodoc.org/,Tara Yarberry,Director,tyarberry@teachinc.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Public Wi-Fi, Online educational resources, Workforce development resources",,Modoc,,"Virtually, In-Person",https://advancingmodoc.org/,Advancing Modoc College Center,"701 N Main Street #D3, Suite D3, Alturas, CA, 96101.0, US",'+15302331685,"Monday, Tuesday, and Thursdays from 11 AM - 5 PM",https://advancingmodoc.org/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish","Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/5/25 16:23
Curry Senior Center,333 Turk Street,San Francisco,CA,94102,'+14159173410,https://curryseniorcenter.org/,Ruben Chavez,Deputy Director,rchavez@curryseniorcenter.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources",,,,"Virtually, In-Person",https://curryseniorcenter.org/programs-category/,Tech & Wellness Hub+,"520 Turk Street, San Francisco, CA, 94102.0, US",'+14158293240,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,Community Programs,"315 Turk Street, San Francisco, CA, 94102.0, US",'+14159173410,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Farsi, Russian, Other, All tech services are at our Tech & Wellness Hub+ for older adults","Organizational training, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/5/25 11:47
San Diego County Library,5560 Overland Ave,San Diego,CA,92123,'+18586942415,https://www.sdcl.org,Donna Ohr,Deputy Director,donna.ohr@sdcounty.ca.gov,"Library, County Government",,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",,San Diego,,"Virtually, In-Person",https://www.sdcl.org/technology/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Farsi, Arabic, Japanese","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/5/25 9:58
"American GI Forum Education Foundation of Santa Maria, CA",702 E. El Camino Street,Santa Maria,CA,93454,'+18054786230,https://www.agifedfoundation.org,Helen Galvan,Executive Director,helen.galvan@gmail.com,"Community-based Organization / Non-profit (501c3), Foundation / Philanthropic Organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s)",,"Riverside, San Luis Obispo, Santa Barbara, Stanislaus, Ventura",,"Virtually, In-Person",https://www.agifedfoundation.org,Northwest Health Center,"117 W. Bunny Avenue, CA, 93458.0, US",'+18055982130,9:00 am to 6:00 pm,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other","Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/4/25 16:38
Blue Sky Center,1000 Perkins Road,New Cuyama,CA,93254,'+16614133005,https://blueskycenter.org,Jack Forinash,Executive Director,hello@blueskycenter.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Public Wi-Fi, Workforce development resources",,,,"Virtually, In-Person",https://blueskycenter.org,Blue Sky Center,"1000 Perkins Road, New Cuyama, CA, 93254.0, US",'+16614133005,M-F 9-4,https://blueskycenter.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other, Rural unincorporated Cuyama Valley (330 square miles)",,No. Our services are offered free of cost.,12/4/25 15:15
Gray Area,2665 Mission St.,San Francisco,CA,94110,'+14158431423,https://grayarea.org,Barry Threw,Executive Director,barry@grayarea.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Public Wi-Fi, Online educational resources, Workforce development resources",,"Los Angeles, San Diego, San Francisco","Los Angeles (Los Angeles County.), San Diego (San Diego County.), San Francisco (San Francisco County.)","Virtually, In-Person",https://grayarea.org,Grand Theater,"2665 Mission St., San Francisco, CA, 94110.0, US",'+14158431423,,https://grayarea.org,RIP Space,"1250 Long Beach Ave #32, Los Angeles, CA, 90021.0, US",'+17479002125,,https://rip.space/,CoPlace,"2995 Commercial St, San Diego, CA, 92113.0, US",'+18332675223,,https://coplace.com/,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities",English,"Digital equity grant writing, Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/4/25 14:32
The Central Valley Urban Institute,4974 E. Clinton Way,Fresno,CA,93727,'+15596667644,https://www.visionviewbusinesscenter.com,Eric Payne,Executive Director,eric.paynecmc@gmail.com,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Fresno, Kern, Kings, Madera, Merced, San Joaquin, Tulare",,"Virtually, In-Person",,Vision View Business Center,"4974 E. Clinton Way, Fresno, CA, 93727.0, US",,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/4/25 14:09
Beaumont Library District,125 East Eighth Street,Beaumont,CA,92223,'+19518451357,https://www.mybld.org,Tamara Evans,Adult Services Librarian,tamara.evans@mybld.org,"Public or State University, Special District",,"Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",,Riverside,,In-Person,,Beaumont Library District,"125 E 8th St, Beaumont, CA, 92223.0, US",'+19518451357,"Mon, Tue, Th, F: 10am-5pm, Wed, Sat, & Sun 1pm-5pm",https://www.mybld.org/how-do-i,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,"English, Spanish",,No. Our services are offered free of cost.,12/4/25 14:00
Golden Oak Adult School,23201 Dalbey Dr.,Santa Clarita,CA,91355,'+16612530583,https://www.goldenoakadultschool.com,Bryan Wilson,Principal,bwilson@hartdistrict.org,"School (K-12), Other",,"Digital literacy & skills training, Workforce development resources",,,,In-Person,,Golden Oak Adult School,"23201 Dalbey Dr., Santa Clarita, CA, 91355.0, US",'+16612530583,9am-4pm,https://www.goldenoakadultschool.com,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",,,12/4/25 13:37
Vallejo Adult School,436 Del Sur St,Vallejo,CA,94591,'+17075568850,https://vallejoadult.vcusd.org/,Laura Dutch,Principal,ldutch@vcusd.org,"School (K-12), County Office of Education",,"Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://vallejoadult.vcusd.org/enroll,Vallejo Adult School,"436 Del Sur Street, Vallejo, CA, 94591.0, US",'+17075568850,M-Th 8 AM- 8PM F 8 AM- 4 PM,https://vallejoadult.vcusd.org/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action",No. Our services are offered free of cost.,12/4/25 12:59
