Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
Los Angeles County Library - San Gabriel Library,500 South Del Mar Avenue,San Gabriel,CA,91776,626.287.0761,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/san-gabriel-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,San Gabriel,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Sorensen Library,6934 Broadway Avenue,Whittier,CA,90606,562.695.3979,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/sorensen-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Whittier,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - South El Monte Library,1430 North Central Ave.,South El Monte,CA,91733,626.443.4158,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/south-el-monte-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,South El Monte,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - South Whittier Library,11543 Colima Road,Whittier,CA,90604,562.946.4415,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/south-whittier-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Whittier,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Stevenson Ranch Library,25950 The Old Rd.,Stevenson Ranch,CA,91381,661.255.2707,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/stevenson-ranch-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Stevenson Ranch,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Sunkist Library,840 North Puente Avenue,La Puente,CA,91746,626.960.2707,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/sunkist-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,La Puente,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Temple City Library,5939 Golden West Avenue,Temple City,CA,91780,626.285.2136,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/temple-city-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Temple City,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Topanga Library,122 N. Topanga Canyon Blvd.,Topanga,CA,90290,310.455.3480,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun 1-5",https://lacountylibrary.org/location/topanga-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Topanga,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - View Park Bebe Moore Campbell Library,3854 W. 54th St.,Los Angeles,CA,90043,323.293.5371,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/view-park-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Walnut Library,21155 La Puente Road,Walnut,CA,91789,909.595.0757,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/walnut-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Walnut,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - West Covina Library,1601 West Covina Parkway,West Covina,CA,91790,626.962.3541,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/west-covina-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,West Covina,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - West Hollywood Library,625 N. San Vicente Blvd.,West Hollywood,CA,90069,310.652.5340,"Mon 11-7, Tue 11-7, Wed 11-7, Thu 11-7, Fri 10-6, Sat 10-6, Sun 1-5",https://lacountylibrary.org/location/west-hollywood-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,West Hollywood,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Westlake Village Library,31220 Oak Crest Dr.,Westlake Village,CA,91361,818.865.9230,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/westlake-village-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Westlake Village,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Willowbrook Library,11737 Wilmington Avenue,Los Angeles,CA,90059,323.564.5698,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/willowbrook-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Wiseburn Library,5335 West 135th Street,Hawthorne,CA,90250,310.643.8880,"Mon 10-6, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat Closed, Sun Closed",https://lacountylibrary.org/location/wiseburn-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Hawthorne,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Woodcrest Library,1340 West 106th Street,Los Angeles,CA,90044,323.757.9373,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/woodcrest-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles Public Library - Alma Reaves Woods - Watts Branch Library,10205 Compton Avenue,Los Angeles,CA,90002,(323) 789-2850,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/watts,Jasmine Slaughter,Branch Manager,wattsl@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Angeles Mesa Branch Library,2700 W. 52nd Street,Los Angeles,CA,90043,(323) 292-4328,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/angeles-mesa,Mildred Torres,Branch Manager,angmsa@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Arroyo Seco Regional Library,6145 N. Figueroa Street,Los Angeles,CA,90042,(323) 255-0537,"Mon: 10-8, Tue: 10-8, Wed: 10-8, Thu: 10-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: 1-5",https://www.lapl.org/branches/arroyo-seco,Dora Suarez,Branch Manager,ayosco@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Ascot Branch Library,120 W. Florence Avenue,Los Angeles,CA,90003,(323) 759-4817,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/ascot,Salvador Topete,Branch Manager,ascott@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Atwater Village Branch Library,3379 Glendale Boulevard,Los Angeles,CA,90039,(323) 664-1353,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/atwater-village,Jeff Sargeant,Branch Manager,atwatr@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Baldwin Hills Branch Library,2906 S. La Brea Avenue,Los Angeles,CA,90016,(323) 733-1196,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/baldwin-hills,Sada Mozer,Branch Manager,bldhls@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Benjamin Franklin Branch Library,2200 E. 1st Street,Los Angeles,CA,90033,(323) 263-6901,Closed,https://www.lapl.org/branches/benjamin-franklin,,,bnfrnk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Cahuenga Branch Library,4591 Santa Monica Boulevard,Los Angeles,CA,90029,(323) 664-6418,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/cahuenga,Crystal Noe,Branch Manager,cahung@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Canoga Park Branch Library,20939 Sherman Way,Canoga Park,CA,91303,(818) 887-0320,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/canoga-park,Chrissy Carr,Branch Manager,cngopk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Central Library,630 W. 5th Street,Los Angeles,CA,90071,(213) 228-7000,"Mon: 10-8, Tue: 10-8, Wed: 10-8, Thu: 10-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: 1-5",http://www.lapl.org/branches/central-library,,Branch Manager,infonow@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Chatsworth Branch Library,21052 Devonshire Street,Chatsworth,CA,91311,(818) 341-4276,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/chatsworth,Hillary St. George,Branch Manager,ctswrt@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Chinatown Branch Library,639 N. Hill Street,Los Angeles,CA,90012,(213) 620-0925,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/chinatown,Juanita Carter,Branch Manager,cwtown@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Cypress Park Branch Library,1150 Cypress Avenue,Los Angeles,CA,90065,(323) 224-0039,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/cypress-park,Patrick Xavier,Branch Manager,cypprk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Donald Bruce Kaufman - Brentwood Branch Library,11820 San Vicente Boulevard,Los Angeles,CA,90049,(310) 575-8273,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/brentwood,Bennett Rankin,Branch Manager,brntwd@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Eagle Rock Branch Library,5027 Caspar Avenue,Los Angeles,CA,90041,(323) 258-8078,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/eagle-rock,Elizabeth Goralka,Branch Manager,eaglrk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Echo Park Branch Library,1410 W. Temple Street,Los Angeles,CA,90026,(213) 250-7808,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/echo-park,Alana Johnson,Branch Manager,echopk@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Edendale Branch Library,2011 W. Sunset Boulevard,Los Angeles,CA,90026,(213) 207-3000,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/edendale,Niels Bartel,Branch Manager,eden@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - El Sereno Branch Library,5226 S. Huntington Drive,Los Angeles,CA,90032,(323) 225-9201,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/el-sereno,Jennifer Kim,Branch Manager,elsrno@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
Los Angeles Public Library - Encino - Tarzana Branch Library,18231 Ventura Boulevard,Tarzana,CA,91356,(818) 343-1983,"Mon: 10-8, Tue: 12-8, Wed: 10-8, Thu: 12-8, Fri: 9:30-5:30, Sat: 9:30-5:30, Sun: Closed",https://www.lapl.org/branches/encino-tarzana,Asif Khan,Branch Manager,enctar@lapl.org,Community Anchor Institution ,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers, Ethnic or Minority Communities",All,"Partnership Opportunities, Information Sharing",No,,,
