Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long,google_maps_url,physical_county
San Diego Public Library - Pacific Beach/Taylor Branch Library,4275 Cass St.,San Diego,CA,92109-4005,858-581-9934,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Pacific Beach/Taylor Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Pacific Beach/Taylor Branch Library,San Diego,858-581-9934,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Beach/Taylor Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Beach/Taylor Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Beach/Taylor Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Beach/Taylor Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.79427,-117.249906,"https://www.google.com/maps?q=32.79427,-117.249906",San Diego
San Diego Public Library - Pacific Highlands Ranch Branch Library,12911 Pacific Pl,San Diego,CA,92130,858-523-7052,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Pacific Highlands Ranch Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Pacific Highlands Ranch Branch Library,San Diego,858-523-7052,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Highlands Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Highlands Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Highlands Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Pacific Highlands Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.961386,-117.187582,"https://www.google.com/maps?q=32.961386,-117.187582",San Diego
San Diego Public Library - Paradise Hills Branch Library,5922 Rancho Hills Drive,San Diego,CA,92139-3137,619-527-3461,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Paradise Hills Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Paradise Hills Branch Library,San Diego,619-527-3461,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Paradise Hills Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Paradise Hills Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Paradise Hills Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Paradise Hills Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.672676,-117.061213,"https://www.google.com/maps?q=32.672676,-117.061213",San Diego
San Diego Public Library - Point Loma/Hervey Branch Library,3701 Voltaire St.,San Diego,CA,92107-1606,619-531-1539,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Point Loma/Hervey Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Point Loma/Hervey Branch Library,San Diego,619-531-1539,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Point Loma/Hervey Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Point Loma/Hervey Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Point Loma/Hervey Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Point Loma/Hervey Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.740088,-117.229461,"https://www.google.com/maps?q=32.740088,-117.229461",San Diego
San Diego Public Library - Rancho Bernardo Branch Library,17110 Bernardo Center Drive ,San Diego,CA,92128-2002,858-538-8163,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Rancho Bernardo Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Rancho Bernardo Branch Library,San Diego,858-538-8163,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho Bernardo Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho Bernardo Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho Bernardo Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho Bernardo Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,33.024895,-117.075238,"https://www.google.com/maps?q=33.024895,-117.075238",San Diego
San Diego Public Library - Rancho PeÃ±asquitos Branch Library,13330 Salmon River Road,San Diego,CA,92129-2640,858-538-8159,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Rancho PeÃ±asquitos Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Rancho PeÃ±asquitos Branch Library,San Diego,858-538-8159,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho PeÃ±asquitos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho PeÃ±asquitos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho PeÃ±asquitos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Rancho PeÃ±asquitos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.958065,-117.122066,"https://www.google.com/maps?q=32.958065,-117.122066",San Diego
San Diego Public Library - San Carlos Branch Library,7265 Jackson Drive,San Diego,CA,92119-2314,619-527-3430,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - San Carlos Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - San Carlos Branch Library,San Diego,619-527-3430,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Carlos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Carlos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Carlos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Carlos Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.801995,-117.040553,"https://www.google.com/maps?q=32.801995,-117.040553",San Diego
San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,330 Park Blvd.,San Diego,CA,92101-7416,619-236-5800,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,San Diego,619-236-5800,"Monday 9:00 AM - 8:00 PM, Tuesday 9:00 AM - 8:00 PM, Wednesday 9:00 AM - 8:00 PM, Thursday 9:00 AM - 8:00 PM, Friday 9:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",https://www.sandiego.gov/public-library,San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,San Diego,,"Monday 9:00 AM - 8:00 PM, Tuesday 9:00 AM - 8:00 PM, Wednesday 9:00 AM - 8:00 PM, Thursday 9:00 AM - 8:00 PM, Friday 9:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",https://www.sandiego.gov/public-library,San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,San Diego,,"Monday 9:00 AM - 8:00 PM, Tuesday 9:00 AM - 8:00 PM, Wednesday 9:00 AM - 8:00 PM, Thursday 9:00 AM - 8:00 PM, Friday 9:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",https://www.sandiego.gov/public-library,San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,San Diego,,"Monday 9:00 AM - 8:00 PM, Tuesday 9:00 AM - 8:00 PM, Wednesday 9:00 AM - 8:00 PM, Thursday 9:00 AM - 8:00 PM, Friday 9:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",https://www.sandiego.gov/public-library,San Diego Public Library - San Diego Central Library @ Joan Î› Irwin Jacobs Common,San Diego,,"Monday 9:00 AM - 8:00 PM, Tuesday 9:00 AM - 8:00 PM, Wednesday 9:00 AM - 8:00 PM, Thursday 9:00 AM - 8:00 PM, Friday 9:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.708656,-117.154122,"https://www.google.com/maps?q=32.708656,-117.154122",San Diego
San Diego Public Library - San Ysidro Branch Library,4235 San Ysidro Blvd.,San Diego,CA,92173-2516,619-424-0475,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - San Ysidro Branch Library,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - San Ysidro Branch Library,San Diego,619-424-0475,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Ysidro Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Ysidro Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Ysidro Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - San Ysidro Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.548575,-117.034824,"https://www.google.com/maps?q=32.548575,-117.034824",San Diego
San Diego Public Library - Scripps Miramar Ranch Branch Library,10301 Scripps Lake Drive  ,San Diego,CA,92131-1258,858-538-8158,https://www.sandiego.gov/public-library,,,WebLibrary@sandiego.gov,San Diego Public Library - Scripps Miramar Ranch Branch Library,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,San Diego,,In-Person,,San Diego Public Library - Scripps Miramar Ranch Branch Library,San Diego,858-538-8158,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Scripps Miramar Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Scripps Miramar Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Scripps Miramar Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,San Diego Public Library - Scripps Miramar Ranch Branch Library,San Diego,,"Monday 11:00 AM - 7:00 PM, Tuesday 11:00 AM - 7:00 PM, Wednesday 11:00 AM - 7:00 PM, Thursday 11:00 AM - 7:00 PM, Friday 11:00 AM - 5:00 PM, Saturday 11:00 AM - 5:00 PM, Sunday Closed",https://www.sandiego.gov/public-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,32.911183,-117.105048,"https://www.google.com/maps?q=32.911183,-117.105048",San Diego
