Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Tech Exchange,2201 Poplar St.,Oakland,CA,94607,'+15108662260,https://www.techexchange.org,Ulises Zatarain,Executive Director,ulises@techexchange.org,Tech Exchange,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, San Francisco, San Mateo, Santa Clara, Solano",,In-Person,,TecHub,Oakland,'+15108662260,,https://www.techexchange.org,TecHub,Oakland,'+15108662260,,https://www.techexchange.org,TecHub,Oakland,'+15108662260,,https://www.techexchange.org,TecHub,Oakland,'+15108662260,,https://www.techexchange.org,TecHub,Oakland,'+15108662260,,https://www.techexchange.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Vietnamese, Cantonese, Other","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/19/2025 15:23
Valley Voices,729 W. Lacey Blvd. Suite 9,Hanford,CA,93230,'+15595303778,https://www.vvoices.org/,Claire Fitiausi,Public Health Program Director,clairef@vvoices.org,Valley Voices,,"Enrollment assistance in low-cost internet service programs, Technical support",County-wide or across multiple counties,"Fresno, Kings, Tulare",,In-Person,,Alma's Flea Market,Hanford,,Monday 8am to12pm,,Alma's Flea Market,Hanford,,Monday 8am to12pm,,Alma's Flea Market,Hanford,,Monday 8am to12pm,,Alma's Flea Market,Hanford,,Monday 8am to12pm,,Alma's Flea Market,Hanford,,Monday 8am to12pm,,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/19/2025 13:11
Valley Voices,729 W. Lacey Blvd. Suite 9,Hanford,CA,93230,'+15595303778,https://www.vvoices.org/,Claire Fitiausi,Public Health Program Director,clairef@vvoices.org,Valley Voices,,"Enrollment assistance in low-cost internet service programs, Technical support",County-wide or across multiple counties,"Fresno, Kings, Tulare",,In-Person,,Episcopal Church of the Saviour,Hanford,,Wednesdays 10am to 1pm and as needed,,Episcopal Church of the Saviour,Hanford,,Wednesdays 10am to 1pm and as needed,,Episcopal Church of the Saviour,Hanford,,Wednesdays 10am to 1pm and as needed,,Episcopal Church of the Saviour,Hanford,,Wednesdays 10am to 1pm and as needed,,Episcopal Church of the Saviour,Hanford,,Wednesdays 10am to 1pm and as needed,,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/19/2025 13:11
Valley Voices,729 W. Lacey Blvd. Suite 9,Hanford,CA,93230,'+15595303778,https://www.vvoices.org/,Claire Fitiausi,Public Health Program Director,clairef@vvoices.org,Valley Voices,,"Enrollment assistance in low-cost internet service programs, Technical support",County-wide or across multiple counties,"Fresno, Kings, Tulare",,In-Person,,Avenal Veteran's Memorial Hall,Avenal,,"2nd Friday of each month, 12pm to 6pm",,Avenal Veteran's Memorial Hall,Avenal,,"2nd Friday of each month, 12pm to 6pm",,Avenal Veteran's Memorial Hall,Avenal,,"2nd Friday of each month, 12pm to 6pm",,Avenal Veteran's Memorial Hall,Avenal,,"2nd Friday of each month, 12pm to 6pm",,Avenal Veteran's Memorial Hall,Avenal,,"2nd Friday of each month, 12pm to 6pm",,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/19/2025 13:11
Valley Voices,729 W. Lacey Blvd. Suite 9,Hanford,CA,93230,'+15595303778,https://www.vvoices.org/,Claire Fitiausi,Public Health Program Director,clairef@vvoices.org,Valley Voices,,"Enrollment assistance in low-cost internet service programs, Technical support",County-wide or across multiple counties,"Fresno, Kings, Tulare",,In-Person,,John Palacio Community Center,Huron,,"Third Friday of each month, 12pm to 6pm",,John Palacio Community Center,Huron,,"Third Friday of each month, 12pm to 6pm",,John Palacio Community Center,Huron,,"Third Friday of each month, 12pm to 6pm",,John Palacio Community Center,Huron,,"Third Friday of each month, 12pm to 6pm",,John Palacio Community Center,Huron,,"Third Friday of each month, 12pm to 6pm",,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/19/2025 13:11
Mission Economic Development Agency,2301 Mission Street,San Francisco,CA,94110,'+14152823334,https://medasf.org/,Luis Granados,CEO,lgranados@medasf.org,Mission Economic Development Agency,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Shasta, Solano",,Virtually,https://medasf.org/programs/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/19/2025 11:54
Mission Economic Development Agency,2301 Mission Street,San Francisco,CA,94110,'+14152823334,https://medasf.org/,Luis Granados,CEO,lgranados@medasf.org,Mission Economic Development Agency,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Shasta, Solano",,In-Person,,Mission Economic Development Agency,San Francisco,'+14152823334,9-5pm,https://medasf.org/workforce-development/,Mission Economic Development Agency,San Francisco,'+14152823334,9-5pm,https://medasf.org/workforce-development/,Mission Economic Development Agency,San Francisco,'+14152823334,9-5pm,https://medasf.org/workforce-development/,Mission Economic Development Agency,San Francisco,'+14152823334,9-5pm,https://medasf.org/workforce-development/,Mission Economic Development Agency,San Francisco,'+14152823334,9-5pm,https://medasf.org/workforce-development/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/19/2025 11:54
Hispanic Federation,55 Exchange Place,New York,NY,10005,'+19295069068,https://hispanicfederation.org,Peter Michelen,Director for Workforce Initiatives,pmichelen@hispanicfederation.org,Hispanic Federation,,"Digital literacy & skills training, Technical support, Computer center(s), Online educational resources, Workforce development resources",Statewide,,,Virtually,https://hispanicfederation.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/19/2025 11:08
Little Brothers Friends of the Elderly - San Francisco Chapter,"909 Hyde St, Ste 628","San Francisco, CA",CA,94109,'+14157717957,https://littlebrotherssf.org,Cathy Michalec,Executive Director,cmichalec@littlebrotherssf.org,Little Brothers Friends of the Elderly - San Francisco Chapter,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices",City-wide or across multiple cities,San Francisco,,In-Person,,In-home,,,,,In-home,,,,,In-home,,,,,In-home,,,,,In-home,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities",English,,No. Our services are offered free of cost.,12/19/2025 10:07
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,Santa Clara County Library District,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,,Virtually,https://www.sccld.org/locations,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/2025 9:51
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,Santa Clara County Library District,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,,In-Person,,Gilroy Library,Gilroy,'+14088428207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,Gilroy Library,Gilroy,'+14088428207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,Gilroy Library,Gilroy,'+14088428207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,Gilroy Library,Gilroy,'+14088428207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,Gilroy Library,Gilroy,'+14088428207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/2025 9:51
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,Santa Clara County Library District,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,,In-Person,,Cupertino Library,Cupertino,'+14084461677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,Cupertino Library,Cupertino,'+14084461677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,Cupertino Library,Cupertino,'+14084461677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,Cupertino Library,Cupertino,'+14084461677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,Cupertino Library,Cupertino,'+14084461677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/2025 9:51
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,Santa Clara County Library District,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,,In-Person,,Los Altos Library,Los Altos,'+16509487683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,Los Altos Library,Los Altos,'+16509487683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,Los Altos Library,Los Altos,'+16509487683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,Los Altos Library,Los Altos,'+16509487683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,Los Altos Library,Los Altos,'+16509487683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/2025 9:51
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,Santa Clara County Library District,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,,In-Person,,Milpitas Library,Milpitas,'+14082621171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,Milpitas Library,Milpitas,'+14082621171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,Milpitas Library,Milpitas,'+14082621171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,Milpitas Library,Milpitas,'+14082621171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,Milpitas Library,Milpitas,'+14082621171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/2025 9:51
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,Santa Clara County Library District,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,,In-Person,,Morgan Hill Library,Morgan Hill,'+14087793196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,Morgan Hill Library,Morgan Hill,'+14087793196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,Morgan Hill Library,Morgan Hill,'+14087793196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,Morgan Hill Library,Morgan Hill,'+14087793196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,Morgan Hill Library,Morgan Hill,'+14087793196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/2025 9:51
Service Center for Independent Life (SCIL),107 Spring St,Claremont,CA,91711,'+19096216722,https://www.scil-ilc.org,Larry Grable,Executive Director,larry@scil-ilc.org,Service Center for Independent Life (SCIL),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,"Los Angeles, San Bernardino",,In-Person,,SCIL,Claremont,'+19096216722,8-4:30,https://www.scil-ilc.org,SCIL,Claremont,'+19096216722,8-4:30,https://www.scil-ilc.org,SCIL,Claremont,'+19096216722,8-4:30,https://www.scil-ilc.org,SCIL,Claremont,'+19096216722,8-4:30,https://www.scil-ilc.org,SCIL,Claremont,'+19096216722,8-4:30,https://www.scil-ilc.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Vietnamese, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/19/2025 9:45
HACLA (Housing Authority of the City of Los Angeles),2600 Wilshire Blvd,Los Angeles,CA,90057,'+18334225248,https://www.hacla.org/en,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,HACLA (Housing Authority of the City of Los Angeles),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,Virtually,https://www.hacla.org/en/digital-equity-and-education-teams,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/2025 16:43
HACLA (Housing Authority of the City of Los Angeles),2600 Wilshire Blvd,Los Angeles,CA,90057,'+18334225248,https://www.hacla.org/en,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,HACLA (Housing Authority of the City of Los Angeles),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,Avalon Gardens,Los Angeles,,12pm-5pm,,Avalon Gardens,Los Angeles,,12pm-5pm,,Avalon Gardens,Los Angeles,,12pm-5pm,,Avalon Gardens,Los Angeles,,12pm-5pm,,Avalon Gardens,Los Angeles,,12pm-5pm,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/2025 16:43
Curry Senior Center,315 Turk Street,San Francisco,CA,94102,'+14159173410,https://curryseniorcenter.org,Phillip Gerson,Arts and Technology Program Manager,pgerson@curryseniorcenter.org,Curry Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",Other,,,Virtually,https://curryseniorcenter.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Cantonese, Farsi, Russian","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/2025 15:54
Curry Senior Center,315 Turk Street,San Francisco,CA,94102,'+14159173410,https://curryseniorcenter.org,Phillip Gerson,Arts and Technology Program Manager,pgerson@curryseniorcenter.org,Curry Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",Other,,,In-Person,,Curry Senior Center,San Francisco,'+14158293240,M-Fri; 9am to 4pm,https://curryseniorcenter.org,Curry Senior Center,San Francisco,'+14158293240,M-Fri; 9am to 4pm,https://curryseniorcenter.org,Curry Senior Center,San Francisco,'+14158293240,M-Fri; 9am to 4pm,https://curryseniorcenter.org,Curry Senior Center,San Francisco,'+14158293240,M-Fri; 9am to 4pm,https://curryseniorcenter.org,Curry Senior Center,San Francisco,'+14158293240,M-Fri; 9am to 4pm,https://curryseniorcenter.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Cantonese, Farsi, Russian","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/2025 15:54
"Loaves, Fishes & Computers",830 Park Row,Salinas,CA,93901,'+18313939260,https://lfctech.org,Arlene Krebs,Chair Emeritus & Director,arlene@lfctech.org,"Loaves, Fishes & Computers",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Monterey, San Benito, Santa Cruz",,Virtually,https://lfctech.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing, Other",Yes. We charge a fee for our services.,12/18/2025 15:45
"Loaves, Fishes & Computers",830 Park Row,Salinas,CA,93901,'+18313939260,https://lfctech.org,Arlene Krebs,Chair Emeritus & Director,arlene@lfctech.org,"Loaves, Fishes & Computers",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Monterey, San Benito, Santa Cruz",,In-Person,,LFC Headquarters,Salinas,'+18313939260,9am-5om Tues-Saturday,https://lfctech.org,LFC Headquarters,Salinas,'+18313939260,9am-5om Tues-Saturday,https://lfctech.org,LFC Headquarters,Salinas,'+18313939260,9am-5om Tues-Saturday,https://lfctech.org,LFC Headquarters,Salinas,'+18313939260,9am-5om Tues-Saturday,https://lfctech.org,LFC Headquarters,Salinas,'+18313939260,9am-5om Tues-Saturday,https://lfctech.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing, Other",Yes. We charge a fee for our services.,12/18/2025 15:45
Catholic Charities of Santa Clara County,4 Wabash Ave,San Jose,CA,95128,'+16696770326,https://www.ccscc.org,Leticia Fernandez,Program Manager,lfernandez@catholicchariteisscc.org,Catholic Charities of Santa Clara County,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",Specific school site,,,In-Person,,Luther Burbank FRC,San Jose,'+16696770326,"Wed. 12:30 pm-4:30pm, Thursday 9am-5pm,Friday 9am-5pm",https://www.ccscc.org,Luther Burbank FRC,San Jose,'+16696770326,"Wed. 12:30 pm-4:30pm, Thursday 9am-5pm,Friday 9am-5pm",https://www.ccscc.org,Luther Burbank FRC,San Jose,'+16696770326,"Wed. 12:30 pm-4:30pm, Thursday 9am-5pm,Friday 9am-5pm",https://www.ccscc.org,Luther Burbank FRC,San Jose,'+16696770326,"Wed. 12:30 pm-4:30pm, Thursday 9am-5pm,Friday 9am-5pm",https://www.ccscc.org,Luther Burbank FRC,San Jose,'+16696770326,"Wed. 12:30 pm-4:30pm, Thursday 9am-5pm,Friday 9am-5pm",https://www.ccscc.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Vietnamese",,No. Our services are offered free of cost.,12/18/2025 14:30
"Connected Home Living, Inc.",2670 S. White Road,San Jose,CA,95148,'+18003117859,https://www.connectedhomeliving.com,Neil Tantingco,CEO,neil@connectedhomeliving.com,"Connected Home Living, Inc.",,Digital navigation (in-person or virtual/call center),Statewide,,,Virtually,https://www.connectedhomeliving.com,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Farsi, Arabic, Hindi, Russian, Japanese, Punjabi, French, Khmer","Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,12/18/2025 13:38
yüda ayuda,2405 Hilo Lane,Ceres,CA,95350,'+12096817300,https://www.yuda.io/,Karlha Arias,Co-CEO,info@yuda.io,yüda ayuda,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",County-wide or across multiple counties,"Merced, San Joaquin, Stanislaus",,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/18/2025 13:31
